geometry_wkt,addr:street,highway
POINT (-97.3918407 27.705497),,turning_circle
POINT (-97.230242 27.6258688),,turning_circle
POINT (-97.378237 27.6736709),,turning_circle
POINT (-97.42967 27.798304),,turning_circle
POINT (-97.3073868 27.6463062),,turning_circle
POINT (-97.4132808 27.6845841),,turning_circle
POINT (-97.2846325 27.6436345),,stop
POINT (-97.2947702 27.6486434),,traffic_signals
POINT (-97.4089851 27.7673677),,turning_circle
POINT (-97.4322627 27.713654),,turning_circle
POINT (-97.4119139 27.7123467),,turning_circle
POINT (-97.296604 27.6791302),,turning_circle
POINT (-97.2972192 27.6783166),,turning_circle
POINT (-97.625993 27.8753372),,turning_circle
POINT (-97.4204706 27.7827666),,traffic_signals
POINT (-97.573208 27.8445053),,turning_circle
POINT (-97.4438549 27.7147989),,traffic_signals
POINT (-97.4025065 27.6828064),,turning_circle
POINT (-97.3887594 27.7387299),,turning_circle
POINT (-97.4379577 27.7937502),,turning_circle
POINT (-97.5769417 27.8455488),,turning_circle
POINT (-97.4255235 27.7588426),,turning_circle
POINT (-97.3844876 27.7144116),,traffic_signals
POINT (-97.3702297 27.707302),,traffic_signals
POINT (-97.2825221 27.6682768),,traffic_signals
POINT (-97.3229072 27.6855513),,traffic_signals
POINT (-97.3412547 27.6937575),,traffic_signals
POINT (-97.3466221 27.696431),,traffic_signals
POINT (-97.3698742 27.7078696),,traffic_signals
POINT (-97.38412 27.7149366),,traffic_signals
POINT (-97.4674797 27.7641783),,traffic_signals
POINT (-97.4596671 27.7562834),,traffic_signals
POINT (-97.4528956 27.7495579),,traffic_signals
POINT (-97.441377 27.7428729),,traffic_signals
POINT (-97.2220834 27.6020721),,traffic_signals
POINT (-97.2216738 27.6178918),,traffic_signals
POINT (-97.4684286 27.764143),,traffic_signals
POINT (-97.4603083 27.7558358),,traffic_signals
POINT (-97.4540688 27.7495336),,traffic_signals
POINT (-97.4492108 27.7465028),,motorway_junction
POINT (-97.4059794 27.7247812),,traffic_signals
POINT (-97.4127963 27.7288803),,traffic_signals
POINT (-97.4056037 27.7253702),,traffic_signals
POINT (-97.2966165 27.6753675),,traffic_signals
POINT (-97.3470255 27.6958002),,traffic_signals
POINT (-97.3416395 27.6931694),,traffic_signals
POINT (-97.4418 27.7421755),,traffic_signals
POINT (-97.4224358 27.7332786),,motorway_junction
POINT (-97.4131555 27.7282781),,traffic_signals
POINT (-97.3373649 27.6467174),,turning_circle
POINT (-97.3351762 27.64557),,turning_circle
POINT (-97.2301788 27.5901337),,turning_circle
POINT (-97.3566211 27.6947977),,turning_circle
POINT (-97.3044998 27.6134764),,turning_circle
POINT (-97.4544398 27.7660749),,turning_circle
POINT (-97.3561049 27.6917053),,turning_circle
POINT (-97.575934 27.844165),,turning_circle
POINT (-97.3022879 27.6487954),,turning_circle
POINT (-97.4005601 27.6744707),,turning_circle
POINT (-97.4033197 27.6758549),,turning_circle
POINT (-97.3974098 27.7972796),,traffic_signals
POINT (-97.3985375 27.7972972),,traffic_signals
POINT (-97.402988 27.7973725),,traffic_signals
POINT (-97.3948738 27.6760994),,turning_circle
POINT (-97.4048218 27.6829541),,turning_circle
POINT (-97.3857423 27.6563382),,turning_circle
POINT (-97.2947075 27.6281879),,turning_circle
POINT (-97.4823353 27.8027617),,turning_circle
POINT (-97.4823394 27.8039095),,turning_circle
POINT (-97.3029822 27.6441243),,turning_circle
POINT (-97.4385126 27.7945821),,turning_circle
POINT (-97.438034 27.7952591),,turning_circle
POINT (-97.4262072 27.788868),,turning_circle
POINT (-97.42628 27.7916202),,turning_circle
POINT (-97.2275802 27.6284843),,turning_circle
POINT (-97.516426 27.7847774),,motorway_junction
POINT (-97.2842067 27.6654836),,traffic_signals
POINT (-97.3775204 27.6657553),,traffic_signals
POINT (-97.3732063 27.6726689),,traffic_signals
POINT (-97.3715591 27.6753346),,traffic_signals
POINT (-97.3696544 27.6783821),,traffic_signals
POINT (-97.3656376 27.6847998),,traffic_signals
POINT (-97.2981125 27.6110432),,turning_circle
POINT (-97.4003414 27.6801571),,turning_circle
POINT (-97.4089414 27.7350312),,traffic_signals
POINT (-97.3948861 27.6988537),,turning_circle
POINT (-97.4209957 27.7967065),,traffic_signals
POINT (-97.4147704 27.6727487),,turning_circle
POINT (-97.6577614 27.8609239),,turning_circle
POINT (-97.395662 27.7254015),,turning_circle
POINT (-97.2300487 27.584643),,turning_circle
POINT (-97.4134125 27.7666236),,turning_circle
POINT (-97.4157836 27.7677818),,turning_circle
POINT (-97.3728717 27.6474105),,turning_circle
POINT (-97.396912 27.751041),,turning_circle
POINT (-97.3948747 27.7480552),,turning_circle
POINT (-97.34648 27.7081207),,turning_circle
POINT (-97.3414857 27.7056321),,turning_circle
POINT (-97.630844 27.8522736),,motorway_junction
POINT (-97.4511739 27.7229888),,turning_circle
POINT (-97.4507318 27.7227571),,turning_circle
POINT (-97.5201254 27.8248517),,traffic_signals
POINT (-97.3077817 27.6457074),,turning_circle
POINT (-97.3570033 27.6675683),,turning_circle
POINT (-97.3927677 27.795811),,traffic_signals
POINT (-97.3938934 27.7960964),,traffic_signals
POINT (-97.3830232 27.7018204),,traffic_signals
POINT (-97.3830994 27.7016996),,crossing
POINT (-97.4017566 27.6815384),,turning_circle
POINT (-97.3839026 27.7313977),,turning_circle
POINT (-97.3902328 27.7193578),,turning_circle
POINT (-97.402951 27.7399678),,turning_circle
POINT (-97.230156 27.6070851),,turning_loop
POINT (-97.4104177 27.7500342),,turning_circle
POINT (-97.4137662 27.7114049),,turning_circle
POINT (-97.2337086 27.6101113),,turning_circle
POINT (-97.2260282 27.6010339),,turning_circle
POINT (-97.3478015 27.6729502),,turning_circle
POINT (-97.2398536 27.6062118),,turning_circle
POINT (-97.2383472 27.6055669),,turning_circle
POINT (-97.4221369 27.7967266),,traffic_signals
POINT (-97.3834398 27.6464354),,turning_circle
POINT (-97.3798144 27.6521818),,turning_circle
POINT (-97.3953475 27.7919259),,traffic_signals
POINT (-97.3948835 27.7932663),,traffic_signals
POINT (-97.3945515 27.7942084),,traffic_signals
POINT (-97.3942163 27.7951531),,traffic_signals
POINT (-97.39385 27.7968213),,traffic_signals
POINT (-97.3938285 27.7978172),,traffic_signals
POINT (-97.39383 27.7988039),,traffic_signals
POINT (-97.3938526 27.7997877),,traffic_signals
POINT (-97.3941921 27.8015437),,traffic_signals
POINT (-97.3942678 27.8018141),,traffic_signals
POINT (-97.384173 27.7567567),,traffic_signals
POINT (-97.3884456 27.7544976),,traffic_signals
POINT (-97.3954392 27.7507923),,traffic_signals
POINT (-97.3890489 27.6832015),,turning_circle
POINT (-97.3924724 27.6988933),,turning_loop
POINT (-97.5996767 27.838741),,turning_circle
POINT (-97.3772942 27.6693732),,turning_circle
POINT (-97.3998799 27.6837108),,turning_circle
POINT (-97.4494058 27.7248443),,turning_circle
POINT (-97.3925614 27.7464927),,traffic_signals
POINT (-97.3997778 27.7347845),,traffic_signals
POINT (-97.4037009 27.7283966),,traffic_signals
POINT (-97.4116128 27.7157627),,traffic_signals
POINT (-97.3883872 27.656674),,turning_circle
POINT (-97.3872844 27.6716239),,turning_circle
POINT (-97.3865504 27.6712589),,turning_circle
POINT (-97.4116453 27.6833265),,turning_circle
POINT (-97.349906 27.7258006),,turning_circle
POINT (-97.350895 27.7242165),,turning_circle
POINT (-97.3674982 27.7377285),,turning_circle
POINT (-97.3069998 27.6469487),,turning_circle
POINT (-97.3750478 27.6761976),,turning_circle
POINT (-97.3984456 27.6713914),,turning_loop
POINT (-97.3964858 27.6871754),,turning_circle
POINT (-97.2260505 27.5999836),,turning_circle
POINT (-97.4129499 27.726237),,turning_circle
POINT (-97.4073757 27.7235226),,turning_circle
